instance_id,trials,correct,gave_up,median_time_s,q1_time_s,q3_time_s,median_orientation_s,median_execution_s,mean_attempts,correct_percent
I0009,18,17,1,66.108,49.75275,78.106,51.8875,8.915,1.0,94.44444444444444
I0010,18,17,1,37.967,30.396250000000002,68.523,33.419,8.911,1.0555555555555556,94.44444444444444
I0011,18,18,0,69.32849999999999,48.461999999999996,128.64675,52.9885,7.538500000000001,1.2222222222222223,100.0
I0012,18,18,0,108.63650000000001,50.65,144.15699999999998,67.17999999999999,18.6825,1.4444444444444444,100.0
I0013,18,16,0,68.124,48.362750000000005,101.142,52.739999999999995,8.542000000000002,1.5,88.88888888888889
I0014,18,17,0,108.0355,85.95675,191.202,86.62950000000001,5.9005,1.5,94.44444444444444
